CityName,Status,State(s),1990Population,2000Population,2010Population,2017EstPopulation
Snyder,Micropolitan Statistical Area,TX,"18,634","16,366","16,921","17,050"
Somerset,Micropolitan Statistical Area,KY,"49,489","56,281","63,063","64,449"
Somerset,Micropolitan Statistical Area,PA,"78,218","80,047","77,746","74,501"
Sonora,Micropolitan Statistical Area,CA,"48,456","54,522","55,365","54,248"
South Bend - Mishawaka,Metropolitan Statistical Area,IN-MI,"296,529","316,653","319,215","321,815"
Spartanburg,Metropolitan Statistical Area,SC,"226,793","253,957","284,301","306,854"
Spearfish,Micropolitan Statistical Area,SD,"20,655","21,805","24,090","25,429"
Spencer,Micropolitan Statistical Area,IA,"17,585","17,369","16,667","16,170"
Spirit Lake,Micropolitan Statistical Area,IA,"14,909","16,429","16,667","17,199"
Spokane - Spokane Valley,Metropolitan Statistical Area,WA,"392,281","458,050","514,752","550,882"
Springfield,Metropolitan Statistical Area,IL,"189,550","201,457","210,170","208,697"
Springfield,Metropolitan Statistical Area,MA,"672,964","680,057","693,075","702,354"
Springfield,Metropolitan Statistical Area,MO,"298,818","368,451","436,711","462,369"
